"indicator","base-per","Unit","Date","Value"
"ALL GROUPS","2014M12","Index","2014M12","100"
"ALL GROUPS","2014M12","Index","2015M1","97.5855561053513"
"ALL GROUPS","2014M12","Index","2015M2","98.4255065731594"
"ALL GROUPS","2014M12","Index","2015M3","99.7466267638337"
"ALL GROUPS","2014M12","Index","2015M4","100.034736041448"
"ALL GROUPS","2014M12","Index","2015M5","99.9833270616361"
"ALL GROUPS","2014M12","Index","2015M6","100.017349991871"
"ALL GROUPS","2014M12","Index","2015M7","103.981607988189"
"ALL GROUPS","2014M12","Index","2015M8","105.292974511942"
"ALL GROUPS","2014M12","Index","2015M9","105.328268953634"
"ALL GROUPS","2014M12","Index","2015M10","100.133490029431"
"ALL GROUPS","2014M12","Index","2015M11","100.129803712224"
"ALL GROUPS","2014M12","Index","2015M12","100.292132058868"
"ALL GROUPS","2014M12","Index","2016M1","99.7768137956109"
"ALL GROUPS","2014M12","Index","2016M2","99.6978309879745"
"ALL GROUPS","2014M12","Index","2016M3","100.0137622656"
"ALL GROUPS","2014M12","Index","2016M4","100.556057896549"
"ALL GROUPS","2014M12","Index","2016M5","100.73629360812"
"ALL GROUPS","2014M12","Index","2016M6","100.909317423533"
"ALL GROUPS","2014M12","Index","2016M7","101.255409487185"
"ALL GROUPS","2014M12","Index","2016M8","101.2086204821"
"ALL GROUPS","2014M12","Index","2016M9","101.112104985487"
"ALL GROUPS","2014M12","Index","2016M10","100.8178648698"
"ALL GROUPS","2014M12","Index","2016M11","103.647658063987"
"ALL GROUPS","2014M12","Index","2016M12","101.509471641528"
"ALL GROUPS","2014M12","Index","2017M1","102.311956516474"
"ALL GROUPS","2014M12","Index","2017M2","101.635682470696"
"ALL GROUPS","2014M12","Index","2017M3","101.518553410521"
"ALL GROUPS","2014M12","Index","2017M4","102.889318027988"
"ALL GROUPS","2014M12","Index","2017M5","104.557330369378"
"ALL GROUPS","2014M12","Index","2017M6","105.580240373136"
"ALL GROUPS","2014M12","Index","2017M7","105.663377348146"
"ALL GROUPS","2014M12","Index","2017M8","105.745897322331"
"ALL GROUPS","2014M12","Index","2017M9","106.670765339934"
"ALL GROUPS","2014M12","Index","2017M10","107.347946236454"
"ALL GROUPS","2014M12","Index","2017M11","107.551893738961"
"ALL GROUPS","2014M12","Index","2017M12","107.692133493076"
"ALL GROUPS","2014M12","Index","2018M1","106.23528048129"
"ALL GROUPS","2014M12","Index","2018M2","107.425789419229"
"ALL GROUPS","2014M12","Index","2018M3","107.390506186714"
"ALL GROUPS","2014M12","Index","2018M4","108.731794616362"
"ALL GROUPS","2014M12","Index","2018M5","110.31969915126"
"ALL GROUPS","2014M12","Index","2018M6","109.762592355444"
"ALL GROUPS","2014M12","Index","2018M7","108.939517230087"
"ALL GROUPS","2014M12","Index","2018M8","109.087070273384"
"ALL GROUPS","2014M12","Index","2018M9","110.361435010426"
"ALL GROUPS","2014M12","Index","2018M10","111.617826715364"
"ALL GROUPS","2014M12","Index","2018M11","111.848519166146"
"ALL GROUPS","2014M12","Index","2018M12","111.160427552612"
"ALL GROUPS","2014M12","Index","2019M1","109.617661018374"
"ALL GROUPS","2014M12","Index","2019M2","110.747648096532"
"ALL GROUPS","2014M12","Index","2019M3","110.79157737104"
"ALL GROUPS","2014M12","Index","2019M4","114.890321813941"
"ALL GROUPS","2014M12","Index","2019M5","116.81038535052"
"ALL GROUPS","2014M12","Index","2019M6","117.009335837573"
"ALL GROUPS","2014M12","Index","2019M7","116.362748006472"
"ALL GROUPS","2014M12","Index","2019M8","115.41215722538"
"ALL GROUPS","2014M12","Index","2019M9","116.068516225634"
"ALL GROUPS","2014M12","Index","2019M10","116.247411016071"
"ALL GROUPS","2014M12","Index","2019M11","116.104819903393"
"ALL GROUPS","2014M12","Index","2019M12","114.635595613851"
"ALL GROUPS","2014M12","Index","2020M1","113.13762908839"
"ALL GROUPS","2014M12","Index","2020M2","114.133302288889"
"ALL GROUPS","2014M12","Index","2020M3","116.553543189022"
"ALL GROUPS","2014M12","Index","2020M4","119.802539451343"
"ALL GROUPS","2014M12","Index","2020M5","121.75886540327"
"ALL GROUPS","2014M12","Index","2020M6","122.042967831877"
"ALL GROUPS","2014M12","Index","2020M7","121.127704299547"
"ALL GROUPS","2014M12","Index","2020M8","120.08784212544"
"ALL GROUPS","2014M12","Index","2020M9","120.629822529479"
"ALL GROUPS","2014M12","Index","2020M10","120.605279950845"
"ALL GROUPS","2014M12","Index","2020M11","121.183163344368"
"ALL GROUPS","2014M12","Index","2020M12","120.178638627691"
"ALL GROUPS","2014M12","Index","2021M1","118.8"
"ALL GROUPS","2014M12","Index","2021M2","119.88"
"ALL GROUPS","2014M12","Index","2021M3","122.47"
"ALL GROUPS","2014M12","Index","2021M4","124.85"
"ALL GROUPS","2014M12","Index","2021M5","126.42"
"ALL GROUPS","2014M12","Index","2021M6","125.97"
"ALL GROUPS","2014M12","Index","2021M7","126.89"
"ALL GROUPS","2014M12","Index","2021M8","125.26"
"ALL GROUPS","2014M12","Index","2021M9","126.17"
"ALL GROUPS","2014M12","Index","2021M10","126.461372563826"
"ALL GROUPS","2014M12","Index","2021M11","127.273502782328"
"ALL GROUPS","2014M12","Index","2021M12","126.989907141792"
"ALL GROUPS","2014M12","Index","2022M1","126.919850554281"
"ALL GROUPS","2014M12","Index","2022M2","127.614780981074"
"ALL GROUPS","2014M12","Index","2022M3","129.917166594409"
"ALL GROUPS","2014M12","Index","2022M4","132.898224679542"
"ALL GROUPS","2014M12","Index","2022M5","134.85"
"ALL GROUPS","2014M12","Index","2022M6","134.77"
"ALL GROUPS","2014M12","Index","2022M7","136.71"
"ALL GROUPS","2014M12","Index","2022M8","134.74"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2014M12","100"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M1","97.044768088371"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M2","97.7195763107945"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M3","99.4780463539606"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M4","99.5752947432692"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M5","99.3817966096027"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M6","99.3809612156309"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M7","103.549382867315"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M8","105.845538398077"
"FOOD AND NON ALCOHOLIC BEVERAGES","2014M12","Index","2015M9","105.881297969173"
