"","Country","Region","district","Product","date","Open","High","Low","Close","Currency"
"","Somalia","Awdal","Borama","maize","2017-01-01","3829.05","4290.86","3367.24","3410.01","SOS"
"","Somalia","Awdal","Borama","maize","2017-02-01","3335.73","3702","2969.46","4525.56","SOS"
"","Somalia","Awdal","Borama","maize","2017-03-01","4916.31","5566.38","4266.24","4689.97","SOS"
"","Somalia","Awdal","Borama","maize","2017-04-01","4597.91","5060.43","4135.39","4802.95","SOS"
"","Somalia","Awdal","Borama","maize","2017-05-01","4878.55","5141.08","4616.02","5351","SOS"
"","Somalia","Awdal","Borama","maize","2017-06-01","5478.01","5612.63","5343.39","5207.06","SOS"
"","Somalia","Awdal","Borama","maize","2017-07-01","5146.47","5434.98","4857.97","5136.65","SOS"
"","Somalia","Awdal","Borama","maize","2017-08-01","5158.19","5569.89","4746.5","4500.75","SOS"
"","Somalia","Awdal","Borama","maize","2017-09-01","4379.59","4677.05","4082.13","4503.99","SOS"
"","Somalia","Awdal","Borama","maize","2017-10-01","4562.47","4951.01","4173.93","4424.73","SOS"
"","Somalia","Awdal","Borama","maize","2017-11-01","4399.87","4831.49","3968.26","5133.98","SOS"
"","Somalia","Awdal","Borama","maize","2017-12-01","5349.99","5662.97","5037.01","4896.14","SOS"
"","Somalia","Awdal","Borama","maize","2018-01-01","4784.9","5141.7","4428.1","7200","SOS"
"","Somalia","Awdal","Borama","maize","2018-02-01","7830.89","8990.84","6670.94","7000","SOS"
"","Somalia","Awdal","Borama","maize","2018-03-01","6755.96","7650.34","5861.58","7000","SOS"
"","Somalia","Awdal","Borama","maize","2018-04-01","7110.28","7704.11","6516.44","7000","SOS"
"","Somalia","Awdal","Borama","maize","2018-05-01","6978.89","7177","6780.78","7000","SOS"
"","Somalia","Awdal","Borama","maize","2018-06-01","7028.72","7463.78","6593.65","6870","SOS"
"","Somalia","Awdal","Borama","maize","2018-07-01","6851.86","7434.06","6269.66","6600","SOS"
"","Somalia","Awdal","Borama","maize","2018-08-01","6567.09","7209.58","5924.59","5500","SOS"
"","Somalia","Awdal","Borama","maize","2018-09-01","5315.82","5682.55","4949.09","4500","SOS"
"","Somalia","Awdal","Borama","maize","2018-10-01","4379.82","4598.23","4161.4","4500","SOS"
"","Somalia","Awdal","Borama","maize","2018-11-01","4558.78","4928.23","4189.34","4200","SOS"
"","Somalia","Awdal","Borama","maize","2018-12-01","4128.8","4507.44","3750.16","5000","SOS"
"","Somalia","Awdal","Borama","maize","2019-01-01","5265.57","5416.48","5114.66","5000","SOS"
"","Somalia","Awdal","Borama","maize","2019-02-01","4918.2","5236.76","4599.64","5500","SOS"
"","Somalia","Awdal","Borama","maize","2019-03-01","5676.3","6038.99","5313.6","6000","SOS"
"","Somalia","Awdal","Borama","maize","2019-04-01","6075.07","6589.97","5560.17","6000","SOS"
"","Somalia","Awdal","Borama","maize","2019-05-01","5991.59","6601.98","5381.19","6200","SOS"
"","Somalia","Awdal","Borama","maize","2019-06-01","6270.07","6954.06","5586.09","6000","SOS"
"","Somalia","Awdal","Borama","maize","2019-07-01","5949.66","6642.15","5257.18","7000","SOS"
"","Somalia","Awdal","Borama","maize","2019-08-01","7311.79","7866.81","6756.78","6250","SOS"
